date,date_block_num,shop_id,item_id,item_price,item_cnt_day
12.01.2013,0,25,19,28,1
02.01.2013,0,19,27,2499,1
04.01.2013,0,28,29,2499,1
09.01.2013,0,26,27,2499,1
11.01.2013,0,2,27,2499,1
12.01.2013,0,1,27,1890,1
26.01.2013,0,1,29,1890,1
19.01.2013,0,10,27,1890,1
14.01.2013,0,15,28,549,1
26.01.2013,0,31,29,2499,1
06.01.2013,0,31,29,2499,1
16.01.2013,0,31,28,549,1
12.01.2013,0,31,28,549,1
02.01.2013,0,31,28,549,1
18.01.2013,0,31,27,2499,1
03.01.2013,0,35,28,549,1
18.01.2013,0,50,29,2499,-1
12.01.2013,0,50,29,2499,1
19.01.2013,0,47,28,549,1
12.01.2013,0,47,28,549,1
04.01.2013,0,45,27,2499,1
06.01.2013,0,46,28,549,1
24.02.2013,1,47,28,398,1
23.02.2013,1,56,27,1998,1
02.02.2013,1,54,12,189,1
17.02.2013,1,19,28,398,1
19.02.2013,1,25,27,1998,1
14.02.2013,1,21,27,1998,1
19.02.2013,1,4,28,398,1
02.02.2013,1,35,28,549,1
16.02.2013,1,35,28,398,1
21.02.2013,1,46,28,398,1
26.02.2013,1,46,28,398,1
20.02.2013,1,27,28,398,1
16.03.2013,2,44,28,398,1
28.03.2013,2,38,28,398,1
25.03.2013,2,32,27,1998,1
29.03.2013,2,50,28,398,1
20.03.2013,2,43,28,398,1
07.03.2013,2,43,28,398,1
02.03.2013,2,53,27,1998,1
17.03.2013,2,23,28,398,1
19.03.2013,2,15,27,1998,1
09.03.2013,2,29,28,398,1
30.03.2013,2,24,27,1998,1
02.04.2013,3,21,28,398,1
11.04.2013,3,27,28,398,1
16.04.2013,3,12,28,398,1
14.04.2013,3,14,27,1998,1
15.04.2013,3,22,28,398,1
10.04.2013,3,53,28,398,1
08.04.2013,3,51,28,347,1
22.05.2013,4,24,28,398,1
18.05.2013,4,41,28,398,1
05.05.2013,4,46,28,398,1
06.05.2013,4,46,28,398,-1
13.05.2013,4,46,28,398,1
11.05.2013,4,45,27,1499,1
11.05.2013,4,14,29,1499,1
01.05.2013,4,19,28,398,1
07.05.2013,4,19,27,1998,1
01.06.2013,5,30,28,298,1
06.06.2013,5,32,27,1398,1
19.06.2013,5,25,27,1398,1
21.06.2013,5,28,28,298,1
24.06.2013,5,50,28,298,1
03.06.2013,5,47,28,298,1
17.07.2013,6,31,29,1398,1
02.07.2013,6,15,27,1398,1
21.07.2013,6,15,28,249,1
20.07.2013,6,5,29,1398,1
26.07.2013,6,7,28,249,1
14.07.2013,6,25,27,1398,1
29.07.2013,6,25,28,249,1
23.07.2013,6,19,27,1398,1
15.07.2013,6,19,28,249,1
29.07.2013,6,56,28,249,1
28.07.2013,6,43,28,249,1
21.07.2013,6,50,28,249,1
25.08.2013,7,58,28,249,1
03.08.2013,7,42,28,249,1
20.08.2013,7,43,28,249,1
25.08.2013,7,31,28,249,1
23.08.2013,7,18,29,1398,1
18.08.2013,7,17,28,249,1
06.08.2013,7,22,28,249,1
16.08.2013,7,22,28,249,1
03.08.2013,7,21,28,249,1
17.08.2013,7,19,28,249,1
07.08.2013,7,30,28,249,1
22.08.2013,7,27,28,249,1
25.08.2013,7,27,28,249,1
28.08.2013,7,3,28,249,1
01.08.2013,7,5,27,1198,1
18.09.2013,8,54,28,249,1
21.09.2013,8,54,28,249,1
08.09.2013,8,18,27,1198,1
27.09.2013,8,15,28,249,1
15.09.2013,8,46,28,249,1
14.09.2013,8,46,28,249,1
01.09.2013,8,28,28,249,1
27.09.2013,8,26,28,249,1
19.10.2013,9,46,28,139,1
16.10.2013,9,6,29,978,1
30.10.2013,9,29,27,1198,1
23.10.2013,9,31,28,139.3,1
29.10.2013,9,51,28,126,1
09.10.2013,9,47,28,174,1
15.10.2013,9,50,28,139,1
21.10.2013,9,54,28,139.3,1
09.10.2013,9,59,28,174.3,1
15.10.2013,9,14,27,838,1
21.10.2013,9,14,28,174,1
09.10.2013,9,16,27,838,1
25.10.2013,9,15,29,978,1
14.10.2013,9,7,27,838.6,1
19.10.2013,9,10,27,1103,1
27.10.2013,9,28,28,139,1
08.10.2013,9,26,28,174,1
16.10.2013,9,27,27,838,1
21.11.2013,10,26,27,1198,1
06.11.2013,10,37,28,199,1
